,temp 0,temp 1,temp 2,,edge,nodes,,level 1,level 2,level 3,level 4,L
96,0.78857851,2.94702816,13.12821245,96,340,242,96,680,45566,92518,452266,82280
90,0.909648657,4.00929594,49.60873628,90,361,239,90,722,50062,129246,2271254,86279
70,0.292544365,2.862297773,90.0981462,70,387,161,70,774,19466,167996,2153314,62307
91,0.439016342,3.020250082,25.21585083,91,414,210,91,828,20926,112986,1118730,86940
2,0.315817356,4.585043907,70.79298759,2,440,128,2,880,20720,261038,4116584,56320
59,0.76188755,4.21087122,86.30741692,59,440,244,59,880,52298,206472,1994148,107360
89,0.406073809,3.974878073,43.95883441,89,458,187,89,916,17332,172506,2076484,85646
71,0.185103893,1.323838472,20.72132516,71,549,342,71,1098,10402,66000,479454,187758
13,0.29299593,2.463963985,20.80148745,13,579,348,13,1158,18240,132348,1106000,201492
88,0.493986368,9.868417501,211.2367373,88,589,99,88,1178,26720,497916,10318014,58311
55,0.70036912,7.075370789,92.35657191,55,605,283,55,1210,47148,341532,5171280,171215
81,0.921650887,10.80979991,178.7364135,81,643,228,81,1286,47110,467786,8736904,146604
82,0.913033485,8.978115082,173.1348104,82,706,289,82,1412,49358,444606,8594380,204034
93,0.578006029,4.967987776,53.94116139,93,756,401,93,1512,32056,221140,2346248,303156
64,0.612257242,4.701542139,76.70671034,64,798,523,64,1596,31868,195050,1732028,417354
84,0.865724087,12.17759991,196.4404347,84,870,278,84,1740,48054,627682,10920208,241860
76,0.733961344,9.519490957,114.4561484,76,888,406,76,1776,48414,484548,6396040,360528
94,3.433448076,22.63067126,259.8692904,94,1077,544,94,2154,198496,944728,11663794,585888
62,2.963225842,25.87305045,790.5360491,62,1181,532,62,2362,190760,1294840,18824912,628292
14,1.726061821,21.45755553,400.4836962,14,1220,492,14,2440,98970,1188530,22995266,600240
27,1.461217642,20.48371029,343.581342,27,1413,523,27,2826,82970,1151468,19578786,738999
79,5.930221558,66.03384972,2334.933342,79,1969,815,79,3938,363596,3520860,97924908,1604735
